Fecha,Coord
2019-01-01,-89.6015828 20.9917451 -1
2019-01-01,-89.6015828 20.9917451 -1
2019-01-01,-89.6016231 20.9917673 -1
2019-01-01,-89.6016231 20.9917673 -1
2019-01-01,-89.6016231 20.9917673 -1
2019-01-01,-89.6018103 20.9917090999999 0
2019-01-01,-89.6016272999999 20.9917017999999 -1
2019-01-01,-89.6015855999999 20.9917661 -1
2019-01-01,-89.6015855999999 20.9917661 -1
2019-01-01,-89.6015855999999 20.9917661 -1
2019-01-01,-89.601658 20.9917226 -1
2019-01-01,-89.601658 20.9917226 -1
2019-01-01,-89.601658 20.9917226 -1
2019-01-01,-89.6016751 20.9915613 -1
2019-01-01,-89.6016751 20.9915613 -1
2019-01-01,-89.6016751 20.9915613 -1
2019-01-01,-89.6016964 20.9917534999999 -1
2019-01-01,-89.6017207 20.9917245999999 -1
2019-01-01,-89.6017207 20.9917245999999 -1
2019-01-01,-89.6017207 20.9917245999999 -1
2019-01-01,-89.6017249 20.9917408 -1
2019-01-01,-89.6017249 20.9917408 -1
2019-01-01,-89.6017249 20.9917408 -1
2019-01-01,-89.6017055 20.9917367999999 -1
2019-01-01,-89.6017055 20.9917367999999 -1
2019-01-01,-89.6017055 20.9917367999999 -1
2019-01-01,-89.6016981 20.9917238 -1
2019-01-01,-89.601717 20.9917038 -1
2019-01-01,-89.601717 20.9917038 -1
2019-01-01,-89.601717 20.9917038 -1
2019-01-01,-89.6017357 20.9917193999999 -1
2019-01-01,-89.6017357 20.9917193999999 -1
2019-01-01,-89.6017357 20.9917193999999 -1
2019-01-01,-89.6016116999999 20.9917414 -1
2019-01-01,-89.6016116999999 20.9917414 -1
2019-01-01,-89.6016791999999 20.9917093999999 -1
2019-01-01,-89.6016791999999 20.9917093999999 -1
2019-01-01,-89.5997032 20.9887558999999 0
2019-01-01,-89.5997032 20.9887558999999 0
2019-01-01,-89.5997032 20.9887558999999 0
2019-01-01,-89.6017985 20.9917272 -8
2019-01-01,-89.6017942 20.9917336999999 -8
2019-01-01,-89.6017935 20.9917336999999 -9
2019-01-01,-89.6015698 20.9919171 -10
2019-01-01,-89.601179 20.9921711 -12
2019-01-01,-89.6013091 20.9924979 -11
2019-01-01,-89.6013596999999 20.9925507 -11
2019-01-01,-89.6014122 20.992606 -10
2019-01-01,-89.6014632999999 20.9926629 -10
2019-01-01,-89.6020513 20.9932692 -12
2019-01-01,-89.6029442999999 20.9928228 -10
2019-01-01,-89.6033918999999 20.9925295 -11
2019-01-01,-89.6034052 20.9925267 -11
2019-01-01,-89.6034057 20.9925264 -11
2019-01-01,-89.6034071999999 20.9925259999999 -11
2019-01-01,-89.6034076999999 20.9925262 -11
2019-01-01,-89.6034076999999 20.9925262999999 -11
2019-01-01,-89.6034079 20.9925262 -11
2019-01-01,-89.6034079 20.9925262 -11
2019-01-01,-89.6034644 20.9924833999999 -10
2019-01-01,-89.6032938 20.9929414 -11
2019-01-01,-89.6034191 20.9933507 -13
2019-01-01,-89.6032518 20.9942399 -14
2019-01-01,-89.60324 20.994311 -13
2019-01-01,-89.6029978999999 20.9952807 -9
2019-01-01,-89.602766 20.9962262 -13
2019-01-01,-89.6025824 20.9969346 -11
2019-01-01,-89.6025221 20.9969955 -10
2019-01-01,-89.602481 20.9970082 -10
2019-01-01,-89.6029914 20.9974445999999 -9
2019-01-01,-89.6036578 20.9976217999999 -12
2019-01-01,-89.6040922 20.9977215 -8
2019-01-01,-89.6050485 20.9978604999999 -6
2019-01-01,-89.6051341 20.9978768999999 -6
2019-01-01,-89.6058759 20.9980071 -6
2019-01-01,-89.6069357 20.9981883 -5
2019-01-01,-89.6083412999999 20.9984380999999 -2
2019-01-01,-89.6097113 20.9986627999999 -7
2019-01-01,-89.609805 20.9986777 -7
2019-01-01,-89.6099028 20.9987007999999 -7
2019-01-01,-89.6111232 20.9988928999999 -6
2019-01-01,-89.6112606 20.9990548 -9
2019-01-01,-89.6109922 21.0002466999999 -10
2019-01-01,-89.6108146 21.0013653999999 -5
2019-01-01,-89.6107938 21.0014587 -4
2019-01-01,-89.6106427 21.0022345999999 -6
2019-01-01,-89.6104154 21.003436 -4
2019-01-01,-89.6101997999999 21.0047578999999 -9
2019-01-01,-89.6099378999999 21.0062539 -6
2019-01-01,-89.6099253 21.0063013999999 -5
2019-01-01,-89.6096568999999 21.0074832 -13
2019-01-01,-89.6093655999999 21.0090605999999 -12
2019-01-01,-89.6090824 21.0104578 -10
2019-01-01,-89.6090411 21.010628 -9
2019-01-01,-89.6090419 21.0106273 -9
2019-01-01,-89.6090443 21.0106234 -10
2019-01-01,-89.6090445 21.0106234 -10
2019-01-01,-89.6090445999999 21.0106239 -10
2019-01-01,-89.6090445999999 21.0106243 -10
2019-01-01,-89.6090445999999 21.0106243 -10
2019-01-01,-89.6090445999999 21.0106243 -10
2019-01-01,-89.6089878 21.0110232 -9
2019-01-01,-89.608741 21.0123416 -8
2019-01-01,-89.608727 21.0124203 -8
2019-01-01,-89.6087077 21.0124922 -8
2019-01-01,-89.6080897 21.0153458 -20
2019-01-01,-89.6067312 21.0184765 -5
2019-01-01,-89.6060268 21.0217785999999 -11
2019-01-01,-89.6072425999999 21.0227073 10
2019-01-01,-89.6092266 21.0225279999999 0
2019-01-01,-89.6103256999999 21.022232 -22
2019-01-01,-89.6105499999999 21.0223724 -12
2019-01-01,-89.6104706 21.0224159 -4
2019-01-01,-89.6104421 21.0224697 -17
2019-01-01,-89.6105453999999 21.0223817 19
2019-01-01,-89.6104467 21.0223747 -6
2019-01-01,-89.6105453 21.0223829 2
2019-01-01,-89.6104019 21.0224118 0
2019-01-01,-89.6103098 21.0222996 0
2019-01-01,-89.6103098 21.0222996 0
2019-01-01,-89.6103098 21.0222996 0
2019-01-01,-89.6102174 21.022292 0
2019-01-01,-89.6102174 21.022292 0
2019-01-01,-89.6102174 21.022292 0
2019-01-01,-89.6102174 21.022292 0
2019-01-01,-89.6043182 21.0294217999999 92
2019-01-01,-89.603539 21.0326477 12
2019-01-01,-89.6027371999999 21.0359294 9
2019-01-01,-89.6061805 21.0394395999999 0
2019-01-01,-89.6061805 21.0394395999999 0
2019-01-01,-89.603443 21.037201 0
2019-01-01,-89.6038341 21.0374239999999 0
2019-01-01,-89.6038628 21.0374686 0
2019-01-01,-89.6041197 21.0364543 0
2019-01-01,-89.6041197 21.0364543 0
2019-01-01,-89.6041197 21.0364543 0
2019-01-01,-89.6037673 21.0375958 0
2019-01-01,-89.6033212 21.0374852 0
2019-01-01,-89.6033212 21.0374852 0
2019-01-01,-89.6033212 21.0374852 0
2019-01-01,-89.6035845 21.0376159 0
2019-01-01,-89.6037399 21.0376972 0
2019-01-01,-89.6037399 21.0376972 0
2019-01-01,-89.6037399 21.0376972 0
2019-01-01,-89.6033487 21.0365626999999 0
2019-01-01,-89.6033487 21.0365626999999 0
2019-01-01,-89.5996021999999 21.0377795 0
